Pid,Name,Price,PromoStart,PromoEnd,Description
1a0d1821-7a3c-44cc-872b-552841728e7e,Cheese - Montery Jack,$0.63,6/21/2023,9/10/2022,Fluoroscopy of Cervico-Cerebral Arch using H Osm Contrast
fd0bd17d-433f-4b5c-ae9a-58215786bcef,Carbonated Water - Orange,$2.03,4/4/2023,8/10/2023,"Supplement Right Maxilla with Nonaut Sub, Open Approach"
e10c1956-f4ba-41ae-8851-594da016fd07,Flavouring - Orange,$8.82,5/16/2023,10/20/2022,"Revise of Nonaut Sub in L Acromioclav Jt, Perc Endo Approach"
0f8c3785-d07a-4326-93a4-c2c020a8ef1d,Spice - Peppercorn Melange,$0.12,6/8/2023,4/12/2023,Computerized Tomography (CT Scan) of Sella Tur/Pituitary
a18fedf1-a91c-4c28-b4b5-ba4b984cc999,Lid - 3oz Med Rec,$1.02,1/11/2023,1/10/2023,"Supplement Left Upper Eyelid with Synth Sub, Extern Approach"
3f1b4a01-db3e-4120-8f6f-3cac3ec4bdc7,"Pasta - Lasagna Noodle, Frozen",$9.18,7/29/2023,9/26/2022,"Insert Infusion Dev in L Hypogast Vein, Perc Endo"
6dd7e083-870e-45b2-9ca2-f870733ccf42,Salmon Atl.whole 8 - 10 Lb,$6.19,3/15/2023,7/11/2023,"Drainage of Lumbar Sympathetic Nerve, Perc Approach, Diagn"
8f4a97cb-859c-45e6-b75e-964d0aa02219,Venison - Racks Frenched,$9.55,10/15/2022,11/23/2022,"Supplement R Sternoclav Jt w Autol Sub, Perc Endo"
0eccdf2a-4562-4e27-bf6b-52d2b5be8191,Sugar - Fine,$1.17,9/21/2022,4/18/2023,"Bypass L Pulm Art from Carotid with Autol Art, Open Approach"
149a0b02-520d-40ba-95fc-f4e78a19cc5a,"Pineapple - Canned, Rings",$2.70,1/27/2023,8/4/2023,"Occlusion of Intracran Art with Intralum Dev, Open Approach"
250b0207-cf71-4f45-8daa-9fb1787b6c58,Lettuce - California Mix,$2.81,11/3/2022,8/25/2023,"Transfer Trigeminal Nerve to Olfact Nrv, Perc Endo Approach"
f06d8e1f-8ca5-49db-b0f2-13b5760435e8,Lid Tray - 16in Dome,$6.39,9/2/2022,1/10/2023,"Supplement R Low Lobe Bronc with Autol Sub, Open Approach"
61aab677-67c1-4c8d-b357-f16218863690,Chocolate - Sugar Free Semi Choc,$9.64,11/6/2022,12/15/2022,"Bypass Left Popliteal Artery to Foot Art, Perc Endo Approach"
6a32ae16-7e98-4420-b7ff-2e83d5d91d62,Piping Jelly - All Colours,$1.67,2/23/2023,4/26/2023,"Dilation of Cecum, Percutaneous Endoscopic Approach"
b09cc3e9-b267-4b05-a227-850b89877560,"Apple - Delicious, Red",$3.98,3/5/2023,3/26/2023,"Drainage of Anus, Via Natural or Artificial Opening, Diagn"
4c95c8dd-15ba-4839-b92d-92c3f65671ae,Amaretto,$9.92,3/15/2023,12/23/2022,"Excision of Sacral Sympathetic Nerve, Perc Approach, Diagn"
c612f7cb-9015-4d25-9844-5390914b1587,Fenngreek Seed,$8.16,8/29/2022,8/20/2023,"Replacement of R Ext Ear with Synth Sub, Extern Approach"
5872385b-8df8-4129-b051-b926989f54e0,Tequila Rose Cream Liquor,$3.93,1/16/2023,12/22/2022,"Restriction of Duodenum with Extralum Dev, Perc Approach"
a4af0f67-7af5-4813-8072-45ef03967922,Halibut - Fletches,$2.17,11/12/2022,7/4/2023,Magnetic Resonance Imaging (MRI) of Thoracic Disc(s)
fb517696-b2ac-46e6-851c-413ff315e1e0,Miso Paste White,$6.13,6/2/2023,2/17/2023,"Dilate Sup Mesent Art w Intralum Dev, Perc Endo"
f62ecb75-55e7-47cc-b345-38191d3b3505,Oil - Canola,$8.55,11/6/2022,5/25/2023,"Repair Left Upper Extremity, Perc Endo Approach"
1e875fe5-02b0-4663-bbac-c95084d52bb2,Ecolab - Mikroklene 4/4 L,$7.45,9/2/2022,9/29/2022,"Excision of Right Foot, Open Approach, Diagnostic"
f8cce09f-894d-47ac-88f8-eeecbdb2ec42,Creme De Cacao White,$5.79,12/1/2022,1/2/2023,Plain Radiography of Left Heart using Low Osmolar Contrast
aa1d6848-9f13-4613-b908-3ba92a9f04a9,"Potatoes - Yukon Gold, 80 Ct",$4.65,7/21/2023,11/14/2022,"Destruction of Left Renal Vein, Percutaneous Approach"
3dcf20b0-8142-4c87-aacf-bbc1486d5c5c,Remy Red Berry Infusion,$7.83,5/10/2023,4/18/2023,"Removal of Ext Fix from R Humeral Shaft, Perc Endo Approach"
0c4e0c2d-5014-4e42-83a8-680618eedc4b,Flower - Leather Leaf Fern,$3.39,3/12/2023,2/1/2023,"Extraction of Left Tympanic Membrane, Endo"
ae60e151-f0af-4754-a800-85b8327c9fc0,Curry Paste - Madras,$6.26,4/20/2023,2/15/2023,Exercise Treatment of Circ Up Back/UE using Oth Equip
cb61d2ae-456b-4f4e-a737-fcb68954fe59,Plastic Arrow Stir Stick,$2.58,2/17/2023,8/12/2023,"Revision of Nonautologous Tissue Substitute in Urethra, Endo"
4c44eaeb-c555-4a15-8188-98e708b05a1a,The Pop Shoppe - Root Beer,$9.72,11/7/2022,9/23/2022,Plain Radiography of L Hand/Finger Jt using Oth Contrast
65d00f1b-3274-4e47-bc81-102ab90dceba,V8 Pet,$0.66,7/17/2023,4/16/2023,"Extraction of Ova, Percutaneous"
ba2717df-2cc1-4cd1-a218-7d373bafac27,Pasta - Canelloni,$1.14,2/23/2023,2/1/2023,"Transfer Facial Muscle, Open Approach"
66d8abd4-0d78-4227-87d0-805bdc1a416d,Muffin Hinge 117n,$2.57,12/12/2022,9/2/2022,"Transplant of Fem Reprod Sys into POC, Perc Endo Approach"
ab4dc118-010d-4169-97cc-c280fd7dc567,Cake - Pancake,$6.03,2/28/2023,12/29/2022,"Drainage of Pharynx with Drainage Device, Perc Endo Approach"
4a363c6a-8c4d-4879-ab9b-d931523f5a1d,Fork - Plastic,$7.40,6/5/2023,9/6/2022,"Revision of Int Fix in L Temporomandib Jt, Extern Approach"
3ca5910d-2690-4470-bd74-83f052ed8b3b,Bagel - Sesame Seed Presliced,$8.76,11/22/2022,5/4/2023,"Drainage of Right Carpal, Open Approach, Diagnostic"
d14dbb18-2492-449d-bcea-bc607b9a6186,Ham - Cooked,$3.52,11/30/2022,11/5/2022,"Bypass Abd Aorta to Low Ex Art with Synth Sub, Open Approach"
e555da09-6a10-491f-aba8-cb35eee1a71d,Vegetable - Base,$5.62,8/20/2023,6/16/2023,"Extraction of Left Hand Skin, External Approach"
