orderid,productid,unitprice,qty,discount
10248,11,14.00,12,0.000
10248,42,9.80,10,0.000
10248,72,34.80,5,0.000
10249,14,18.60,9,0.000
10249,51,42.40,40,0.000
10250,41,7.70,10,0.000
10250,51,42.40,35,0.150
10250,65,16.80,15,0.150
10251,22,16.80,6,0.050
10251,57,15.60,15,0.050
10251,65,16.80,20,0.000
10252,20,64.80,40,0.050
10252,33,2.00,25,0.050
10252,60,27.20,40,0.000
10253,31,10.00,20,0.000
10253,39,14.40,42,0.000
10253,49,16.00,40,0.000
10254,24,3.60,15,0.150
10254,55,19.20,21,0.150
10254,74,8.00,21,0.000
10255,2,15.20,20,0.000
10255,16,13.90,35,0.000
10255,36,15.20,25,0.000
10255,59,44.00,30,0.000
10256,53,26.20,15,0.000
10256,77,10.40,12,0.000
10257,27,35.10,25,0.000
10257,39,14.40,6,0.000
10257,77,10.40,15,0.000
10258,2,15.20,50,0.200
10258,5,17.00,65,0.200
10258,32,25.60,6,0.200
10259,21,8.00,10,0.000
10259,37,20.80,1,0.000
10260,41,7.70,16,0.250
10260,57,15.60,50,0.000
10260,62,39.40,15,0.250
10260,70,12.00,21,0.250
10261,21,8.00,20,0.000
10261,35,14.40,20,0.000
10262,5,17.00,12,0.200
10262,7,24.00,15,0.000
10262,56,30.40,2,0.000
10263,16,13.90,60,0.250
10263,24,3.60,28,0.000
10263,30,20.70,60,0.250
10263,74,8.00,36,0.250
10264,2,15.20,35,0.000
10264,41,7.70,25,0.150
10265,17,31.20,30,0.000
10265,70,12.00,20,0.000
10266,12,30.40,12,0.050
10267,40,14.70,50,0.000
10267,59,44.00,70,0.150
10267,76,14.40,15,0.150
10268,29,99.00,10,0.000
10268,72,27.80,4,0.000
10269,33,2.00,60,0.050
10269,72,27.80,20,0.050
10270,36,15.20,30,0.000
10270,43,36.80,25,0.000
10271,33,2.00,24,0.000
10272,20,64.80,6,0.000
10272,31,10.00,40,0.000
10272,72,27.80,24,0.000
10273,10,24.80,24,0.050
10273,31,10.00,15,0.050
10273,33,2.00,20,0.000
10273,40,14.70,60,0.050
10273,76,14.40,33,0.050
10274,71,17.20,20,0.000
10274,72,27.80,7,0.000
10275,24,3.60,12,0.050
10275,59,44.00,6,0.050
10276,10,24.80,15,0.000
10276,13,4.80,10,0.000
10277,28,36.40,20,0.000
10277,62,39.40,12,0.000
10278,44,15.50,16,0.000
10278,59,44.00,15,0.000
10278,63,35.10,8,0.000
10278,73,12.00,25,0.000
10279,17,31.20,15,0.250
10280,24,3.60,12,0.000
10280,55,19.20,20,0.000
10280,75,6.20,30,0.000
10281,19,7.30,1,0.000
10281,24,3.60,6,0.000
10281,35,14.40,4,0.000
10282,30,20.70,6,0.000
10282,57,15.60,2,0.000
10283,15,12.40,20,0.000
10283,19,7.30,18,0.000
10283,60,27.20,35,0.000
10283,72,27.80,3,0.000
10284,27,35.10,15,0.250
10284,44,15.50,21,0.000
10284,60,27.20,20,0.250
10284,67,11.20,5,0.250
10285,1,14.40,45,0.200
10285,40,14.70,40,0.200
10285,53,26.20,36,0.200
10286,35,14.40,100,0.000
10286,62,39.40,40,0.000
10287,16,13.90,40,0.150
10287,34,11.20,20,0.000
10287,46,9.60,15,0.150
10288,54,5.90,10,0.100
10288,68,10.00,3,0.100
10289,3,8.00,30,0.000
10289,64,26.60,9,0.000
10290,5,17.00,20,0.000
10290,29,99.00,15,0.000
10290,49,16.00,15,0.000
10290,77,10.40,10,0.000
10291,13,4.80,20,0.100
10291,44,15.50,24,0.100
10291,51,42.40,2,0.100
10292,20,64.80,20,0.000
10293,18,50.00,12,0.000
10293,24,3.60,10,0.000
10293,63,35.10,5,0.000
10293,75,6.20,6,0.000
10294,1,14.40,18,0.000
10294,17,31.20,15,0.000
10294,43,36.80,15,0.000
10294,60,27.20,21,0.000
10294,75,6.20,6,0.000
10295,56,30.40,4,0.000
10296,11,16.80,12,0.000
10296,16,13.90,30,0.000
10296,69,28.80,15,0.000
10297,39,14.40,60,0.000
10297,72,27.80,20,0.000
10298,2,15.20,40,0.000
10298,36,15.20,40,0.250
10298,59,44.00,30,0.250
10298,62,39.40,15,0.000
10299,19,7.30,15,0.000
10299,70,12.00,20,0.000
10300,66,13.60,30,0.000
10300,68,10.00,20,0.000
10301,40,14.70,10,0.000
10301,56,30.40,20,0.000
10302,17,31.20,40,0.000
10302,28,36.40,28,0.000
10302,43,36.80,12,0.000
10303,40,14.70,40,0.100
10303,65,16.80,30,0.100
10303,68,10.00,15,0.100
10304,49,16.00,30,0.000
10304,59,44.00,10,0.000
10304,71,17.20,2,0.000
10305,18,50.00,25,0.100
10305,29,99.00,25,0.100
10305,39,14.40,30,0.100
10306,30,20.70,10,0.000
10306,53,26.20,10,0.000
10306,54,5.90,5,0.000
10307,62,39.40,10,0.000
10307,68,10.00,3,0.000
10308,69,28.80,1,0.000
10308,70,12.00,5,0.000
10309,4,17.60,20,0.000
10309,6,20.00,30,0.000
10309,42,11.20,2,0.000
10309,43,36.80,20,0.000
10309,71,17.20,3,0.000
10310,16,13.90,10,0.000
10310,62,39.40,5,0.000
10311,42,11.20,6,0.000
10311,69,28.80,7,0.000
10312,28,36.40,4,0.000
10312,43,36.80,24,0.000
10312,53,26.20,20,0.000
10312,75,6.20,10,0.000
10313,36,15.20,12,0.000
10314,32,25.60,40,0.100
10314,58,10.60,30,0.100
10314,62,39.40,25,0.100
10315,34,11.20,14,0.000
10315,70,12.00,30,0.000
10316,41,7.70,10,0.000
10316,62,39.40,70,0.000
